Date_Time_PH,Latitude,Longitude,Depth_In_Km,Magnitude,Location,Specific_Location,General_Location
28/10/2025 3:59,11.16,124.18,17,2,025 km N 60° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 3:55,11.22,124.21,10,1.9,031 km N 52° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 3:55,11.21,124.22,4,1.8,032 km N 55° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 3:52,11.3,124.13,36,1.8,033 km N 30° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 3:26,11.04,124.09,6,2.6,012 km S 87° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 3:26,11.19,124.15,19,2.6,025 km N 49° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 3:20,10.9,123.89,4,2.3,019 km S 30° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 3:20,10.99,123.97,24,2.3,006 km S 10° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 3:06,11.16,123.99,21,1.9,013 km N 03° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 3:02,10.91,123.92,7,2.5,016 km S 26° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 3:02,11.03,123.96,30,2.5,002 km S 51° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 2:00,11.11,124.04,31,2.2,009 km N 43° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 1:59,11.1,123.99,27,2.1,006 km N 06° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 1:43,11.16,124.1,33,1.9,018 km N 47° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 0:52,11.15,123.92,4,3,012 km N 29° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 0:52,11.19,124.01,15,2.9,016 km N 13° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 23:22,11.07,124.09,11,1.6,012 km N 79° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 23:17,11.1,124.01,27,1.9,007 km N 29° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 23:17,10.98,123.92,3,1.9,010 km S 41° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 22:37,11.21,124.08,25,1.8,020 km N 31° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 20:51,11.02,123.94,28,1.9,005 km S 53° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 20:51,10.96,124.07,9,1.9,013 km S 46° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 20:38,10.85,123.81,23,2.1,029 km S 41° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 19:53,11.13,124.11,10,1.7,017 km N 58° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 17:03,11.01,123.96,1,2.7,005 km S 31° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 17:03,11.01,123.99,1,2.8,004 km S 10° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 16:35,11.19,124.08,9,2.4,019 km N 35° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 15:44,11.09,124.13,34,2,017 km N 76° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 15:44,10.88,123.95,1,2.2,019 km S 11° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 14:12,11.38,124.11,30,2.3,040 km N 20° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 12:49,10.98,123.98,5,2.9,007 km S 03° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 12:49,10.97,123.99,4,2.8,008 km S 07° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 12:28,10.99,123.99,21,1.5,006 km S 10° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 12:28,11.11,124.03,31,1.5,009 km N 39° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 12:19,11.11,124.03,7,2.2,009 km N 38° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 12:19,11.11,124.03,8,2.3,009 km N 40° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 11:45,11.28,124.02,3,2.7,026 km N 11° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 11:45,11.32,123.99,1,2.5,030 km N 01° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 10:05,11.03,124.04,7,2.3,007 km S 69° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 10:05,11.02,124.08,1,2.4,012 km S 73° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 6:24,10.98,124.06,34,1.5,011 km S 49° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 5:50,11.03,124.03,17,2.2,006 km S 75° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 5:50,11.08,124.07,23,2.1,010 km N 71° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 3:03,11.2,124.02,13,2.4,017 km N 16° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 3:03,11.26,124.06,19,2.2,025 km N 20° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 2:48,11.05,124.03,8,3.2,005 km N 86° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 2:48,11.04,124.07,5,3.2,010 km S 88° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 2:14,10.77,123.84,1,1.7,034 km S 27° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 2:14,10.91,123.85,32,1.7,020 km S 43° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 0:50,11.09,124.22,29,1.8,027 km N 80° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
27/10/2025 0:50,10.98,124.12,36,1.8,017 km S 66° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 23:12,11.16,123.95,9,2.1,012 km N 13° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 23:12,11.17,123.96,6,2.1,013 km N 11° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 23:03,11.16,123.95,1,2.6,017 km N 09° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 23:03,11.1,123.94,3,2.6,007 km N 31° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 22:48,11.08,124.08,34,2,012 km N 71° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 22:48,11.08,124.12,32,2.3,016 km N 78° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 22:48,10.9,123.98,5,2,016 km S 01° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 22:48,10.93,123.94,2,2.2,014 km S 19° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 22:33,10.91,123.9,1,2.4,017 km S 31° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 22:33,10.84,123.86,1,2.4,026 km S 30° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
